epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,6878.71,1.35487,0.98323,1.44456,0,0,0,0,0,480.784,0,0.0036064,0.0036064,0.0036064
66,6979.66,1.32129,1.00547,1.42933,0,0,0,0,0,436.528,0,0.0035065,0.0035065,0.0035065
67,7081.39,1.33511,1.01564,1.4444,0,0,0,0,0,496.532,0,0.0034066,0.0034066,0.0034066
68,7185.5,1.33173,0.97136,1.41593,0,0,0,0,0,581.535,0,0.0033067,0.0033067,0.0033067
69,7289.32,1.30356,0.96009,1.40249,0,0,0,0,0,519.49,0,0.0032068,0.0032068,0.0032068
70,7392.07,1.32865,1.00259,1.43236,0,0,0,0,0,521.069,0,0.0031069,0.0031069,0.0031069
71,7495.79,1.29274,0.95886,1.414,0,0,0,0,0,520.058,0,0.003007,0.003007,0.003007
72,7599.67,1.32807,0.98159,1.45335,0,0,0,0,0,496.757,0,0.0029071,0.0029071,0.0029071
73,7704.74,1.27074,0.93419,1.39764,0,0,0,0,0,643.264,0,0.0028072,0.0028072,0.0028072
74,7810.44,1.27896,0.90712,1.37802,0,0,0,0,0,617.385,0,0.0027073,0.0027073,0.0027073
75,7921.72,1.30755,0.99331,1.43025,0,0,0,0,0,652.157,0,0.0026074,0.0026074,0.0026074
76,8032.1,1.24956,0.92677,1.38359,0,0,0,0,0,620.05,0,0.0025075,0.0025075,0.0025075
77,8142.2,1.28962,0.92603,1.37497,0,0,0,0,0,589.123,0,0.0024076,0.0024076,0.0024076
78,8251.55,1.31421,0.97734,1.4049,0,0,0,0,0,514.201,0,0.0023077,0.0023077,0.0023077
79,8361.38,1.26532,0.94261,1.38626,0,0,0,0,0,480.609,0,0.0022078,0.0022078,0.0022078
